model_id,fold,sample_id,cohort,fold_mse,selected_alpha,selected_brain_targets
training_fold_mean,1,FL-LAR-1,FL,0.20625803348443084,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
linear_regression,1,FL-LAR-1,FL,3.4599782022431205,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
ridge_regression,1,FL-LAR-1,FL,0.24945480066927184,100.0,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
training_fold_mean,2,FL-LAR-13,FL,0.36758075342465507,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
linear_regression,2,FL-LAR-13,FL,0.4365431870410027,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
ridge_regression,2,FL-LAR-13,FL,0.41608185961310096,0.001,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
training_fold_mean,3,FL-LAR-5,FL,0.7402323434900631,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
linear_regression,3,FL-LAR-5,FL,0.4902150741992143,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
ridge_regression,3,FL-LAR-5,FL,0.6862161422646533,1.0,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
training_fold_mean,4,HC-LAR-1,HC,8.193709027247806,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p
linear_regression,4,HC-LAR-1,HC,0.6711129213369015,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p
ridge_regression,4,HC-LAR-1,HC,7.4238544895648015,100.0,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p
training_fold_mean,5,HC-LAR-13,HC,0.8660433257692693,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
linear_regression,5,HC-LAR-13,HC,1.4677932102011069,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
ridge_regression,5,HC-LAR-13,HC,1.4773574387224282,0.001,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
training_fold_mean,6,HC-LAR-5,HC,0.1664202594020146,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
linear_regression,6,HC-LAR-5,HC,0.5181376283439304,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
ridge_regression,6,HC-LAR-5,HC,0.3467738613048265,1.0,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
training_fold_mean,7,VC-LAR-1,VC,2.114501462195488,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p
linear_regression,7,VC-LAR-1,VC,0.8763180075725734,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p
ridge_regression,7,VC-LAR-1,VC,1.838169964196111,100.0,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p
training_fold_mean,8,VC-LAR-13,VC,0.24214100241890596,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
linear_regression,8,VC-LAR-13,VC,0.453968522466334,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
ridge_regression,8,VC-LAR-13,VC,2.4525239828828282,1.0,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
training_fold_mean,9,VC-LAR-5,VC,4.33616001906844,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
linear_regression,9,VC-LAR-5,VC,2.0658109658895003,,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
ridge_regression,9,VC-LAR-5,VC,2.0374133097166753,0.01,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
