fold,held_out_sample_id,cohort,train_sample_count,rank,target,training_variance,fold_target_set,matches_full_cohort_reference
1,FL-LAR-1,FL,8,1,mmu-miR-124-3p,243272373645.93454,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
1,FL-LAR-1,FL,8,2,mmu-let-7c-5p,94178957014.92857,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
1,FL-LAR-1,FL,8,3,mmu-miR-26a-5p,39170381695.48214,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
1,FL-LAR-1,FL,8,4,mmu-let-7a-5p,38574569622.92411,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
1,FL-LAR-1,FL,8,5,mmu-miR-181a-5p,27787128717.92857,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
2,FL-LAR-13,FL,8,1,mmu-miR-124-3p,215658631555.76987,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
2,FL-LAR-13,FL,8,2,mmu-let-7c-5p,99494573892.49553,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
2,FL-LAR-13,FL,8,3,mmu-let-7a-5p,40718469891.67411,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
2,FL-LAR-13,FL,8,4,mmu-miR-26a-5p,40198236660.625,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
2,FL-LAR-13,FL,8,5,mmu-let-7b-5p,29049356208.125,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p,False
3,FL-LAR-5,FL,8,1,mmu-miR-124-3p,134006482588.28572,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
3,FL-LAR-5,FL,8,2,mmu-let-7c-5p,95004852810.70982,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
3,FL-LAR-5,FL,8,3,mmu-miR-26a-5p,40574497283.63839,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
3,FL-LAR-5,FL,8,4,mmu-let-7a-5p,39286954874.92857,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
3,FL-LAR-5,FL,8,5,mmu-miR-181a-5p,28268750020.20982,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p,False
4,HC-LAR-1,HC,8,1,mmu-miR-124-3p,233562008544.72818,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p,False
4,HC-LAR-1,HC,8,2,mmu-let-7c-5p,79242703546.98215,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p,False
4,HC-LAR-1,HC,8,3,mmu-let-7a-5p,32906374870.424107,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p,False
4,HC-LAR-1,HC,8,4,mmu-let-7b-5p,24603802434.55357,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p,False
4,HC-LAR-1,HC,8,5,mmu-miR-26a-5p,22978411807.625,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p,False
5,HC-LAR-13,HC,8,1,mmu-miR-124-3p,244570434647.60123,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
5,HC-LAR-13,HC,8,2,mmu-let-7c-5p,90329454998.95982,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
5,HC-LAR-13,HC,8,3,mmu-miR-26a-5p,36558734967.05357,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
5,HC-LAR-13,HC,8,4,mmu-let-7a-5p,35635784254.55357,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
5,HC-LAR-13,HC,8,5,mmu-let-7b-5p,26850630354.5,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p,True
