tissue,feature,cohort,n,mean_raw_count,std_raw_count,min_raw_count,max_raw_count
liver,mmu-miR-122-5p,FL,3,1874690.0,516088.2602142777,1318055.0,2337304.0
liver,mmu-miR-122-5p,HC,3,1880927.3333333333,613079.7549946771,1202229.0,2394613.0
liver,mmu-miR-122-5p,VC,3,2049747.0,887541.314605692,1195205.0,2966965.0
liver,mmu-miR-17-5p,FL,3,8785.666666666666,658.4681718453318,8142.0,9458.0
liver,mmu-miR-17-5p,HC,3,5653.666666666667,3541.328893697016,2868.0,9639.0
liver,mmu-miR-17-5p,VC,3,6779.0,2946.7312398656245,4964.0,10179.0
liver,mmu-miR-18a-5p,FL,3,1448.3333333333333,46.198845584422706,1395.0,1476.0
liver,mmu-miR-18a-5p,HC,3,910.0,568.5806890846716,470.0,1552.0
liver,mmu-miR-18a-5p,VC,3,902.3333333333334,460.9558908760505,592.0,1432.0
liver,mmu-miR-19a-5p,FL,3,3.6666666666666665,2.3094010767585034,1.0,5.0
liver,mmu-miR-19a-5p,HC,3,2.6666666666666665,2.081665999466133,1.0,5.0
liver,mmu-miR-19a-5p,VC,3,5.333333333333333,4.163331998932266,2.0,10.0
liver,mmu-miR-20a-5p,FL,3,10008.333333333334,1439.7820436904099,8678.0,11537.0
liver,mmu-miR-20a-5p,HC,3,7219.0,4283.695484041787,3996.0,12080.0
liver,mmu-miR-20a-5p,VC,3,5798.0,3286.613911003238,3269.0,9513.0
liver,mmu-miR-92a-1-5p,FL,3,33.666666666666664,22.03028218914441,19.0,59.0
liver,mmu-miR-92a-1-5p,HC,3,13.0,12.288205727444508,4.0,27.0
liver,mmu-miR-92a-1-5p,VC,3,15.333333333333334,11.015141094572204,8.0,28.0
brain,mmu-let-7a-5p,FL,3,229475.0,87082.3404327766,169605.5,329374.5
brain,mmu-let-7a-5p,HC,3,156586.83333333334,119903.54711843737,67489.5,292913.0
brain,mmu-let-7a-5p,VC,3,487649.8333333333,174893.56629557113,332596.0,677232.5
brain,mmu-let-7b-5p,FL,3,131255.33333333334,38768.31704282936,100914.0,174931.0
brain,mmu-let-7b-5p,HC,3,164068.0,163397.45065636735,47197.0,350779.0
brain,mmu-let-7b-5p,VC,3,362698.6666666667,165927.68200132652,244611.0,552408.0
brain,mmu-let-7c-5p,FL,3,357484.8333333333,112919.43937862663,285111.5,487599.0
brain,mmu-let-7c-5p,HC,3,311807.3333333333,251580.40941930143,112506.5,594493.5
brain,mmu-let-7c-5p,VC,3,734788.3333333334,332752.66700897133,513763.5,1117487.0
brain,mmu-miR-124-3p,FL,3,1633574.4444444447,349031.8496142553,1302748.6666666667,1998333.6666666667
brain,mmu-miR-124-3p,HC,3,1022961.1111111111,215265.9785209744,878500.0,1270370.6666666667
brain,mmu-miR-124-3p,VC,3,828962.3333333334,406839.00140268425,378448.6666666667,1169527.6666666667
brain,mmu-miR-181a-5p,FL,3,406409.1666666667,50094.80873886368,368724.0,463256.5
brain,mmu-miR-181a-5p,HC,3,363793.5,193907.29404731013,161947.0,548642.5
brain,mmu-miR-181a-5p,VC,3,564691.6666666666,159388.0254515167,401867.0,720405.0
brain,mmu-miR-26a-5p,FL,3,495888.6666666667,121478.08007242842,355833.5,572649.5
brain,mmu-miR-26a-5p,HC,3,286956.8333333333,141621.82455163237,138523.5,420607.5
brain,mmu-miR-26a-5p,VC,3,654125.3333333334,95196.69496670215,571265.5,758110.0
