seed,fold,sample_id,cohort,fold_mse,selected_brain_targets
101,1,FL-LAR-1,FL,0.9373037219047546,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
101,2,FL-LAR-13,FL,0.22917231917381287,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
101,3,FL-LAR-5,FL,0.5518879890441895,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
101,4,HC-LAR-1,HC,6.595156192779541,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p
101,5,HC-LAR-13,HC,1.7101202011108398,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
101,6,HC-LAR-5,HC,0.3461452126502991,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
101,7,VC-LAR-1,VC,0.9406298398971558,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p
101,8,VC-LAR-13,VC,1.4585716724395752,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
101,9,VC-LAR-5,VC,3.9411768913269043,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
202,1,FL-LAR-1,FL,0.6382817625999451,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
202,2,FL-LAR-13,FL,0.3335910439491272,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
202,3,FL-LAR-5,FL,0.36875325441360474,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
202,4,HC-LAR-1,HC,6.765745639801025,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p
202,5,HC-LAR-13,HC,1.2049736976623535,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
202,6,HC-LAR-5,HC,0.25832200050354004,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
202,7,VC-LAR-1,VC,0.8423530459403992,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p
202,8,VC-LAR-13,VC,1.426287055015564,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
202,9,VC-LAR-5,VC,2.4323105812072754,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
303,1,FL-LAR-1,FL,0.6127645373344421,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
303,2,FL-LAR-13,FL,0.18962781131267548,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
303,3,FL-LAR-5,FL,0.3357240855693817,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
303,4,HC-LAR-1,HC,5.161993980407715,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7b-5p;mmu-miR-26a-5p
303,5,HC-LAR-13,HC,3.455810546875,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
303,6,HC-LAR-5,HC,0.22250697016716003,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
303,7,VC-LAR-1,VC,1.1254079341888428,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-181a-5p;mmu-let-7a-5p
303,8,VC-LAR-13,VC,1.0415362119674683,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
303,9,VC-LAR-5,VC,2.2788503170013428,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-let-7b-5p
404,1,FL-LAR-1,FL,0.6387166976928711,mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p
404,2,FL-LAR-13,FL,0.20549897849559784,mmu-miR-124-3p;mmu-let-7c-5p;mmu-let-7a-5p;mmu-miR-26a-5p;mmu-let-7b-5p
