permutation,seed,vmse
1,101,3.0301061920487005
1,202,3.1177296912264123
1,303,3.1079344683441192
1,404,3.1560894119790692
1,505,3.796012925130632
2,101,1.5716921463050584
2,202,1.8394666716986134
2,303,2.4331451952286987
2,404,2.299280275968581
2,505,2.1874901008695975
3,101,3.22159657952707
3,202,4.32253192475257
3,303,2.9115422574861665
3,404,2.879120425278949
3,505,3.493071625752068
4,101,5.087673772755291
4,202,4.3734190368491985
4,303,4.4457928640118896
4,404,3.6171457697201634
4,505,4.095086557933652
5,101,3.6053951178093095
5,202,2.9986053814964926
5,303,3.677092716062331
5,404,2.47266688682484
5,505,2.540444682952437
6,101,1.780247433151802
6,202,1.8568784457556151
6,303,1.9274445325703704
6,404,1.641967762650933
6,505,1.3576367580575142
7,101,3.457593819535626
7,202,3.4022288489550383
7,303,3.215239932776794
7,404,3.4796429856014517
7,505,4.421182393272952
8,101,3.553526594282158
8,202,2.8367293402475835
8,303,3.918917981234491
8,404,2.7521155673426483
8,505,2.731127890040271
9,101,6.702116358065218
9,202,5.782977864043751
9,303,5.958287370000168
9,404,4.079890047898999
9,505,4.642613045284403
10,101,2.5259161163792094
10,202,2.981257345882035
10,303,5.358179085031839
10,404,2.868873177094118
10,505,2.873929483605647
11,101,2.573993396325326
11,202,2.5442112269024575
11,303,2.336106736526012
11,404,2.4822259462119174
11,505,2.9050144045406694
12,101,3.126401095020043
12,202,2.9007558660763153
12,303,2.413809884975068
12,404,2.133677550179343
12,505,2.7290475927397595
13,101,2.3477723257481053
13,202,2.1651522334684907
13,303,3.459479707075907
13,404,2.9727139823565554
13,505,3.071657655462958
14,101,3.0700167208571125
14,202,2.0229246123024947
14,303,2.6601429846033224
14,404,2.2718671490071034
14,505,2.739273223908885
15,101,4.534102573719334
15,202,4.448369124420678
15,303,4.4361458616857
15,404,3.0102783340649686
15,505,4.228036169432526
16,101,4.244616961929823
16,202,4.3360000448667995
16,303,4.686683854332092
16,404,2.971639746383183
16,505,3.85597564722225
17,101,4.949838524264795
17,202,5.993830825119681
17,303,5.063894138490167
17,404,4.311499088953512
17,505,4.948343857005863
18,101,1.5548252861751704
18,202,2.6199168464913773
18,303,1.72858551229865
18,404,1.3830392684368482
18,505,1.9070536589733007
19,101,3.898037012809368
19,202,3.7281739408271495
19,303,3.193074317122676
19,404,3.5901710086131846
19,505,4.122855770854396
20,101,1.7232376524431183
20,202,1.6661713443500341
20,303,1.4398679483601036
20,404,1.316929049125389
20,505,1.934778697520253
21,101,1.9494245574414641
21,202,2.1439289624238946
21,303,2.2661509097914805
21,404,2.3546767441857215
21,505,2.149562605680555
22,101,4.775908597243216
22,202,4.084416974985707
22,303,3.8784517090287767
22,404,3.599191894482215
22,505,3.602682784214636
23,101,1.8518109745026878
23,202,1.7627367725061562
23,303,2.2510115652188767
23,404,2.0604497177566907
23,505,1.7059453766761026
24,101,2.1356280031451673
24,202,2.5862315120571653
24,303,2.457106059720884
24,404,2.0148370107343054
24,505,2.3034290498167564
25,101,1.2416385662966631
25,202,1.4690964120879533
25,303,1.2004638891813597
25,404,1.1575554962640575
25,505,1.1211287554514655
26,101,3.6609169506480197
26,202,3.822567849473307
26,303,3.7430466482901883
26,404,3.978986775607819
26,505,3.8945262020384206
27,101,2.3553316671089366
27,202,3.444580522607014
27,303,3.325152071798767
27,404,2.7483108425612968
