permutation,input_sample_id,brain_sample_id,kept_original_pair
1,FL-LAR-1,VC-LAR-13,False
1,FL-LAR-13,FL-LAR-1,False
1,FL-LAR-5,VC-LAR-1,False
1,HC-LAR-1,HC-LAR-13,False
1,HC-LAR-13,FL-LAR-5,False
1,HC-LAR-5,HC-LAR-5,True
1,VC-LAR-1,VC-LAR-5,False
1,VC-LAR-13,HC-LAR-1,False
1,VC-LAR-5,FL-LAR-13,False
2,FL-LAR-1,FL-LAR-13,False
2,FL-LAR-13,FL-LAR-5,False
2,FL-LAR-5,VC-LAR-13,False
2,HC-LAR-1,VC-LAR-5,False
2,HC-LAR-13,HC-LAR-13,True
2,HC-LAR-5,HC-LAR-1,False
2,VC-LAR-1,HC-LAR-5,False
2,VC-LAR-13,VC-LAR-1,False
2,VC-LAR-5,FL-LAR-1,False
3,FL-LAR-1,VC-LAR-13,False
3,FL-LAR-13,HC-LAR-1,False
3,FL-LAR-5,HC-LAR-13,False
3,HC-LAR-1,HC-LAR-5,False
3,HC-LAR-13,FL-LAR-1,False
3,HC-LAR-5,VC-LAR-1,False
3,VC-LAR-1,VC-LAR-5,False
3,VC-LAR-13,FL-LAR-13,False
3,VC-LAR-5,FL-LAR-5,False
4,FL-LAR-1,HC-LAR-1,False
4,FL-LAR-13,VC-LAR-5,False
4,FL-LAR-5,VC-LAR-13,False
4,HC-LAR-1,FL-LAR-5,False
4,HC-LAR-13,HC-LAR-5,False
4,HC-LAR-5,HC-LAR-13,False
4,VC-LAR-1,VC-LAR-1,True
4,VC-LAR-13,FL-LAR-1,False
4,VC-LAR-5,FL-LAR-13,False
5,FL-LAR-1,HC-LAR-13,False
5,FL-LAR-13,HC-LAR-5,False
5,FL-LAR-5,HC-LAR-1,False
5,HC-LAR-1,VC-LAR-13,False
5,HC-LAR-13,FL-LAR-1,False
5,HC-LAR-5,VC-LAR-1,False
5,VC-LAR-1,FL-LAR-13,False
5,VC-LAR-13,VC-LAR-5,False
5,VC-LAR-5,FL-LAR-5,False
6,FL-LAR-1,VC-LAR-1,False
6,FL-LAR-13,HC-LAR-5,False
6,FL-LAR-5,VC-LAR-5,False
6,HC-LAR-1,FL-LAR-13,False
6,HC-LAR-13,FL-LAR-1,False
6,HC-LAR-5,FL-LAR-5,False
6,VC-LAR-1,VC-LAR-13,False
6,VC-LAR-13,HC-LAR-13,False
6,VC-LAR-5,HC-LAR-1,False
7,FL-LAR-1,VC-LAR-13,False
7,FL-LAR-13,HC-LAR-13,False
7,FL-LAR-5,HC-LAR-5,False
7,HC-LAR-1,VC-LAR-1,False
7,HC-LAR-13,VC-LAR-5,False
7,HC-LAR-5,FL-LAR-1,False
7,VC-LAR-1,FL-LAR-5,False
7,VC-LAR-13,HC-LAR-1,False
7,VC-LAR-5,FL-LAR-13,False
8,FL-LAR-1,HC-LAR-1,False
8,FL-LAR-13,VC-LAR-1,False
8,FL-LAR-5,HC-LAR-5,False
8,HC-LAR-1,VC-LAR-5,False
8,HC-LAR-13,HC-LAR-13,True
8,HC-LAR-5,FL-LAR-13,False
8,VC-LAR-1,FL-LAR-1,False
8,VC-LAR-13,FL-LAR-5,False
8,VC-LAR-5,VC-LAR-13,False
9,FL-LAR-1,FL-LAR-1,True
9,FL-LAR-13,VC-LAR-1,False
9,FL-LAR-5,HC-LAR-13,False
9,HC-LAR-1,FL-LAR-5,False
9,HC-LAR-13,VC-LAR-13,False
9,HC-LAR-5,HC-LAR-5,True
9,VC-LAR-1,VC-LAR-5,False
9,VC-LAR-13,FL-LAR-13,False
9,VC-LAR-5,HC-LAR-1,False
10,FL-LAR-1,FL-LAR-13,False
10,FL-LAR-13,VC-LAR-1,False
10,FL-LAR-5,HC-LAR-1,False
10,HC-LAR-1,HC-LAR-5,False
10,HC-LAR-13,FL-LAR-1,False
10,HC-LAR-5,HC-LAR-13,False
10,VC-LAR-1,VC-LAR-13,False
10,VC-LAR-13,FL-LAR-5,False
10,VC-LAR-5,VC-LAR-5,True
11,FL-LAR-1,HC-LAR-1,False
11,FL-LAR-13,HC-LAR-13,False
11,FL-LAR-5,FL-LAR-5,True
11,HC-LAR-1,HC-LAR-5,False
11,HC-LAR-13,VC-LAR-5,False
11,HC-LAR-5,VC-LAR-1,False
11,VC-LAR-1,FL-LAR-13,False
11,VC-LAR-13,VC-LAR-13,True
11,VC-LAR-5,FL-LAR-1,False
12,FL-LAR-1,VC-LAR-13,False
12,FL-LAR-13,FL-LAR-5,False
12,FL-LAR-5,HC-LAR-5,False
12,HC-LAR-1,FL-LAR-13,False
12,HC-LAR-13,VC-LAR-1,False
12,HC-LAR-5,HC-LAR-13,False
12,VC-LAR-1,HC-LAR-1,False
12,VC-LAR-13,VC-LAR-5,False
12,VC-LAR-5,FL-LAR-1,False
13,FL-LAR-1,FL-LAR-13,False
13,FL-LAR-13,VC-LAR-13,False
13,FL-LAR-5,FL-LAR-1,False
13,HC-LAR-1,VC-LAR-5,False
13,HC-LAR-13,HC-LAR-1,False
13,HC-LAR-5,FL-LAR-5,False
13,VC-LAR-1,HC-LAR-5,False
13,VC-LAR-13,VC-LAR-1,False
13,VC-LAR-5,HC-LAR-13,False
14,FL-LAR-1,HC-LAR-1,False
14,FL-LAR-13,VC-LAR-13,False
14,FL-LAR-5,VC-LAR-1,False
14,HC-LAR-1,FL-LAR-13,False
14,HC-LAR-13,HC-LAR-13,True
14,HC-LAR-5,FL-LAR-5,False
14,VC-LAR-1,HC-LAR-5,False
14,VC-LAR-13,VC-LAR-5,False
14,VC-LAR-5,FL-LAR-1,False
15,FL-LAR-1,HC-LAR-5,False
15,FL-LAR-13,VC-LAR-1,False
15,FL-LAR-5,FL-LAR-1,False
15,HC-LAR-1,FL-LAR-13,False
15,HC-LAR-13,VC-LAR-13,False
15,HC-LAR-5,HC-LAR-13,False
15,VC-LAR-1,HC-LAR-1,False
15,VC-LAR-13,VC-LAR-5,False
15,VC-LAR-5,FL-LAR-5,False
16,FL-LAR-1,FL-LAR-13,False
16,FL-LAR-13,VC-LAR-1,False
16,FL-LAR-5,HC-LAR-1,False
16,HC-LAR-1,FL-LAR-1,False
16,HC-LAR-13,HC-LAR-13,True
16,HC-LAR-5,HC-LAR-5,True
16,VC-LAR-1,VC-LAR-5,False
16,VC-LAR-13,FL-LAR-5,False
16,VC-LAR-5,VC-LAR-13,False
17,FL-LAR-1,VC-LAR-1,False
17,FL-LAR-13,VC-LAR-5,False
17,FL-LAR-5,FL-LAR-5,True
17,HC-LAR-1,FL-LAR-1,False
17,HC-LAR-13,HC-LAR-13,True
17,HC-LAR-5,HC-LAR-5,True
17,VC-LAR-1,HC-LAR-1,False
17,VC-LAR-13,VC-LAR-13,True
17,VC-LAR-5,FL-LAR-13,False
18,FL-LAR-1,VC-LAR-5,False
18,FL-LAR-13,FL-LAR-1,False
18,FL-LAR-5,FL-LAR-5,True
18,HC-LAR-1,VC-LAR-13,False
18,HC-LAR-13,HC-LAR-1,False
18,HC-LAR-5,FL-LAR-13,False
18,VC-LAR-1,HC-LAR-5,False
18,VC-LAR-13,HC-LAR-13,False
18,VC-LAR-5,VC-LAR-1,False
19,FL-LAR-1,VC-LAR-1,False
19,FL-LAR-13,HC-LAR-5,False
19,FL-LAR-5,FL-LAR-13,False
19,HC-LAR-1,VC-LAR-13,False
19,HC-LAR-13,FL-LAR-5,False
19,HC-LAR-5,VC-LAR-5,False
19,VC-LAR-1,HC-LAR-1,False
19,VC-LAR-13,HC-LAR-13,False
19,VC-LAR-5,FL-LAR-1,False
20,FL-LAR-1,FL-LAR-13,False
20,FL-LAR-13,HC-LAR-5,False
20,FL-LAR-5,VC-LAR-13,False
20,HC-LAR-1,HC-LAR-1,True
20,HC-LAR-13,FL-LAR-5,False
20,HC-LAR-5,VC-LAR-1,False
20,VC-LAR-1,VC-LAR-5,False
20,VC-LAR-13,HC-LAR-13,False
20,VC-LAR-5,FL-LAR-1,False
21,FL-LAR-1,FL-LAR-13,False
21,FL-LAR-13,HC-LAR-5,False
21,FL-LAR-5,VC-LAR-5,False
21,HC-LAR-1,HC-LAR-1,True
21,HC-LAR-13,VC-LAR-13,False
21,HC-LAR-5,HC-LAR-13,False
21,VC-LAR-1,VC-LAR-1,True
21,VC-LAR-13,FL-LAR-1,False
21,VC-LAR-5,FL-LAR-5,False
22,FL-LAR-1,HC-LAR-1,False
22,FL-LAR-13,VC-LAR-5,False
22,FL-LAR-5,VC-LAR-13,False
22,HC-LAR-1,FL-LAR-5,False
22,HC-LAR-13,FL-LAR-13,False
22,HC-LAR-5,HC-LAR-5,True
22,VC-LAR-1,VC-LAR-1,True
22,VC-LAR-13,FL-LAR-1,False
22,VC-LAR-5,HC-LAR-13,False
23,FL-LAR-1,VC-LAR-5,False
23,FL-LAR-13,FL-LAR-5,False
23,FL-LAR-5,FL-LAR-1,False
23,HC-LAR-1,FL-LAR-13,False
23,HC-LAR-13,VC-LAR-1,False
23,HC-LAR-5,HC-LAR-5,True
23,VC-LAR-1,HC-LAR-13,False
23,VC-LAR-13,VC-LAR-13,True
23,VC-LAR-5,HC-LAR-1,False
24,FL-LAR-1,FL-LAR-5,False
24,FL-LAR-13,HC-LAR-5,False
24,FL-LAR-5,HC-LAR-1,False
24,HC-LAR-1,HC-LAR-13,False
24,HC-LAR-13,FL-LAR-1,False
24,HC-LAR-5,VC-LAR-5,False
24,VC-LAR-1,VC-LAR-13,False
24,VC-LAR-13,FL-LAR-13,False
