outer_fold,outer_sample_id,alpha,inner_vmse,selected
1,FL-LAR-1,0.001,10.08389639178389,False
1,FL-LAR-1,0.01,3.452015222715924,False
1,FL-LAR-1,0.1,3.09024365714496,False
1,FL-LAR-1,1.0,2.864570371423531,False
1,FL-LAR-1,10.0,2.5642744754018914,False
1,FL-LAR-1,100.0,2.545726744725127,True
2,FL-LAR-13,0.001,0.46217446840022197,True
2,FL-LAR-13,0.01,0.5935046678260589,False
2,FL-LAR-13,0.1,1.198521378102293,False
2,FL-LAR-13,1.0,1.3795051184118878,False
2,FL-LAR-13,10.0,1.7139799774555113,False
2,FL-LAR-13,100.0,2.0255372152931383,False
3,FL-LAR-5,0.001,12.029977387262912,False
3,FL-LAR-5,0.01,5.462651386689127,False
3,FL-LAR-5,0.1,3.3483010735602816,False
3,FL-LAR-5,1.0,2.553508191681649,True
3,FL-LAR-5,10.0,2.5835256430159204,False
3,FL-LAR-5,100.0,2.629396317855168,False
4,HC-LAR-1,0.001,18.875676102056534,False
4,HC-LAR-1,0.01,7.3970376721731315,False
4,HC-LAR-1,0.1,4.58672284696337,False
4,HC-LAR-1,1.0,3.4406654061411253,False
4,HC-LAR-1,10.0,2.352416877667036,False
4,HC-LAR-1,100.0,2.0805384219593868,True
5,HC-LAR-13,0.001,0.45072240745204883,True
5,HC-LAR-13,0.01,0.45752290155985975,False
5,HC-LAR-13,0.1,0.8178191586060289,False
5,HC-LAR-13,1.0,1.7077209221844927,False
5,HC-LAR-13,10.0,2.4579091880743147,False
5,HC-LAR-13,100.0,2.685384591671691,False
6,HC-LAR-5,0.001,9.956730210107946,False
6,HC-LAR-5,0.01,4.431536670471464,False
6,HC-LAR-5,0.1,3.2526369324055824,False
6,HC-LAR-5,1.0,2.4568674813880795,True
6,HC-LAR-5,10.0,2.494377714335612,False
6,HC-LAR-5,100.0,2.551962318931535,False
7,VC-LAR-1,0.001,8.32947424518411,False
7,VC-LAR-1,0.01,6.423506414878734,False
7,VC-LAR-1,0.1,3.797865243493312,False
7,VC-LAR-1,1.0,3.0641017117228695,False
7,VC-LAR-1,10.0,2.8643936428985457,False
7,VC-LAR-1,100.0,2.7257329071506953,True
8,VC-LAR-13,0.001,2.057775899650327,False
8,VC-LAR-13,0.01,1.0035157177426721,False
8,VC-LAR-13,0.1,0.7531030199864833,False
8,VC-LAR-13,1.0,0.6799398283502567,True
8,VC-LAR-13,10.0,1.1840297363650372,False
8,VC-LAR-13,100.0,1.873369886998868,False
9,VC-LAR-5,0.001,2.0004423375423572,False
9,VC-LAR-5,0.01,1.419870695264896,True
9,VC-LAR-5,0.1,1.4447465265934583,False
9,VC-LAR-5,1.0,1.6726633288214587,False
9,VC-LAR-5,10.0,1.5958890867791864,False
9,VC-LAR-5,100.0,1.8061473479480459,False
