seed,feature,mean_abs_shap
101,mmu-miR-122-5p,0.16926450511538313
101,mmu-miR-17-5p,0.5413854957810406
101,mmu-miR-18a-5p,0.22966423374241032
101,mmu-miR-19a-5p,0.231691432232321
101,mmu-miR-20a-5p,0.3505021623015099
101,mmu-miR-92a-1-5p,0.2191388916800201
202,mmu-miR-122-5p,0.1964082506048772
202,mmu-miR-17-5p,0.6365613480972765
202,mmu-miR-18a-5p,0.22766847934562928
202,mmu-miR-19a-5p,0.18024622344871408
202,mmu-miR-20a-5p,0.4356303549547939
202,mmu-miR-92a-1-5p,0.23624252169316173
303,mmu-miR-122-5p,0.1925201308501168
303,mmu-miR-17-5p,0.6988951244747775
303,mmu-miR-18a-5p,0.2738859338284079
303,mmu-miR-19a-5p,0.20310899723865383
303,mmu-miR-20a-5p,0.29646512294176797
303,mmu-miR-92a-1-5p,0.30357791936169065
404,mmu-miR-122-5p,0.19669602730655933
404,mmu-miR-17-5p,0.6015363441177417
404,mmu-miR-18a-5p,0.3210633756196409
404,mmu-miR-19a-5p,0.29699088286808584
404,mmu-miR-20a-5p,0.3090102568510623
404,mmu-miR-92a-1-5p,0.1596327069554141
505,mmu-miR-122-5p,0.19821344601719043
505,mmu-miR-17-5p,0.5505806028467032
505,mmu-miR-18a-5p,0.198885305455933
505,mmu-miR-19a-5p,0.19456135483357193
505,mmu-miR-20a-5p,0.31113537653937506
505,mmu-miR-92a-1-5p,0.21364842722132502
